ship_type,ship_id,ship_name,dwt,distance,period,lat,lon,dt,speed
Cargo,246960,NJORD,8001,1472.4616587639307,prev,59.90236,30.09618,2016-12-19T09:49:06Z,96
Cargo,253976,FOREST,4537,3125.0807568287655,curr,54.64883,19.86498,2016-12-15T19:07:03Z,117
Cargo,253976,FOREST,4537,3125.0807568287655,prev,54.6327,19.90475,2016-12-15T19:05:02Z,71
Cargo,254047,ESL AFRICA,17356,1416.9044748577692,curr,55.83699,20.81754,2016-12-19T19:41:06Z,132
Cargo,254047,ESL AFRICA,17356,1416.9044748577692,prev,55.84693,20.80334,2016-12-19T19:39:05Z,134
Cargo,254064,EMOTION,20091,155783.58508863096,curr,55.73155,20.80289,2016-12-15T19:05:06Z,93
Cargo,254064,EMOTION,20091,155783.58508863096,prev,54.79411,18.97551,2016-12-15T12:07:02Z,169
Cargo,254318,TRICA,18250,3962.82470048686,curr,59.89521,30.1315,2016-12-20T09:31:04Z,78
Cargo,254318,TRICA,18250,3962.82470048686,prev,59.88806,30.2011,2016-12-20T09:11:04Z,63
Cargo,257347,CAROLINA,3697,6604.871390623593,curr,57.94847,12.08942,2016-12-20T08:37:05Z,68
