ship_type,ship_id,ship_name
Passenger,320546,HAMNEN
Passenger,320712,NORDO III
Passenger,320717,VESTA
Passenger,320839,ALVSNABBEN 5
Passenger,320843,ALVSNABBEN 4
Passenger,321088,ADA
Passenger,321089,BEDA
Passenger,321092,GOTA
Passenger,321093,MARIE
Passenger,321197,NYA SKARGARDEN
Passenger,321587,ARLAN
Passenger,321589,ALVSNABBEN 3
Passenger,321593,YLVA
Passenger,321595,VIPAN
Passenger,321597,SKARVEN
Passenger,321599,SILVERTARNAN
Passenger,321601,FROJA
Passenger,321641,FJORDSKAR
Passenger,321994,SVANEN WEST
Passenger,322073,ALV VIRA AV GOTEBORG
Passenger,322150,DIANA
Passenger,322167,VIVI
Passenger,322168,SVANHILD
Passenger,322185,TRUBADUREN
Passenger,323010,SILVANA
Passenger,323289,CARL MICHAEL BELLMAN
Passenger,323301,ST ERIK
Passenger,327507,STENA GERMANICA
Passenger,327562,STENA SCANDINAVICA
Passenger,347999,NIDA
Passenger,348160,MOSKVA-3
Passenger,348318,DUNAEVSKIY
Passenger,349350,VIKING HELGI
Passenger,349456,VIKING INGVAR
Passenger,353350,PATRIA SEAWAYS
Passenger,353411,OPTIMA SEAWAYS
Passenger,353525,VICTORIA SEAWAYS
Passenger,353594,REGINA SEAWAYS
Passenger,353650,ATHENA SEAWAYS
Passenger,373778,STENA SPIRIT
Passenger,376082,M/F WAWEL
Passenger,1037103,GLOMAR WAVE
Passenger,1081005,LINDA
Passenger,1085676,ULRIKA
Passenger,1088282,BURO
Passenger,1104090,POLSTJERNAN
Passenger,1155907,GOTA II
Passenger,1964978,ALVELI
Passenger,2795623,ALVFRIDA
Passenger,3351571,HAVSORNEN
Passenger,3363948,LYRON
Passenger,3795001,HAKEFJORD
Passenger,4158211,DROTT AF DYRON
Passenger,4353709,KONEVETS
Passenger,4354379,FITTER W
Passenger,4633113,TOLL
Pleasure,190564,CELESTE OF SOLENT
Pleasure,316076,LE VOYAGEUR
Pleasure,316153,CHA-10
Pleasure,316232,ANNA MARIA
Pleasure,316280,JUNA
Pleasure,316312,FILIPPO
Pleasure,316404,KAPITAN BORCHARDT
Pleasure,316468,ORKA HEL
Pleasure,316482,WYSPA SZCZESCIA
Pleasure,316513,MAGNUS ZAREMBA
Pleasure,316558,ANKAWER IV
Pleasure,316664,DAR MLODZIEZY
Pleasure,317163,ZAWISZA CZARNY
Pleasure,317205,MUSASHI M
Pleasure,319865,FURUNO SVERIGE AB
Pleasure,320210,WALONA
Pleasure,321183,EAGLE
Pleasure,321669,"NAWICA TRAINING SHIP"
Pleasure,321697,CHESS ARCONA400
Pleasure,321701,EXTREMARIUM
Pleasure,321727,MANDALAY
Pleasure,321786,PIMPIM
Pleasure,322000,PENTA 80
Pleasure,322393,KRISTINA 5
Pleasure,322451,SEA WIND
Pleasure,322667,ATLANTICA
Pleasure,322861,SAXKRAN NR 2
Pleasure,322884,HARMONIE II
Pleasure,323000,OM II AF GOTEBORG
Pleasure,323198,TOOTIKI
Pleasure,323258,EBBA HARD
Pleasure,323271,EMM XXIII M23
Pleasure,323316,LA DOLCE VITA
Pleasure,323838,YANIKI IV
Pleasure,323930,MARY SWE
Pleasure,324024,MARISSA
Pleasure,324029,GISELE
Pleasure,324125,FLORO/HAMBURGSUND
Pleasure,324477,JEWEL
Pleasure,324603,LOUISE
Pleasure,324703,ISADORA
Pleasure,324986,AQUILA
Pleasure,324990,PAULA
Pleasure,325042,HIFLYER
Pleasure,325070,BLUE ADVENTURE
Pleasure,325291,PENTA 60
Pleasure,325635,PENTA 81
Pleasure,325995,STORMFAGEL
Pleasure,326015,MARELD
Pleasure,326054,GREAT ESCAPE
Pleasure,326371,BMJ WINDY 37
Pleasure,326697,WWW.SSBILBEHOR.SE
Pleasure,345293,MIR
Pleasure,345607,KRUZENSHTERN
Pleasure,351018,SEDOV
Pleasure,353451,BRABANDER
Pleasure,1181634,BARRAKUDA
Pleasure,2208737,"NATALIA B"
Pleasure,3110501,JOKER
Pleasure,3498025,ARKUN
Pleasure,3511277,NOROY
Pleasure,3534813,BEDA
Pleasure,3679722,TARNTANK TEKNIK
Pleasure,3689951,LADY H
Pleasure,3900094,PIORUN
Pleasure,3967129,TINDRA
Pleasure,4041669,HYDROMET
Pleasure,4068490,TINDRA
Pleasure,4096146,LADY
Pleasure,4187538,LILIAN101
Pleasure,4194704,SEA BIRD
Pleasure,4201085,TRIPLE ESS
Pleasure,4234809,LT-12465
Pleasure,4316815,FITTER WORKSHOP
Pleasure,4325014,EMPATIA POLSKA
Pleasure,4449805,MUCKLE FLUGGA
Pleasure,4450061,ANNABELLA
Pleasure,4512547,DT SUPPLY
Pleasure,4561378,DAISY
Pleasure,4589812,KAXE
Pleasure,4611368,ATHENA
Pleasure,4691561,VIKING
Pleasure,4702404,CARUZZI
Pleasure,4704897,EUPHORIA
Tanker,1960,PALLAS GLORY
Tanker,2968,FURE FLADEN
Tanker,3049,BESIKTAS ICELAND
Tanker,6333,BALTICO
Tanker,6338,BONITO
Tanker,6349,SUULA
Tanker,118748,WAASMUNSTER
Tanker,124420,LEENI
Tanker,124748,KAPRIFOL
Tanker,134088,SEALING
Tanker,142957,PATRICIA ESSBERGER
Tanker,144450,BALTIC AMBITION
Tanker,148345,TEKOS
Tanker,149302,SEAEMPRESS
Tanker,149310,MURRAY STAR
Tanker,151751,SEAMARLIN
Tanker,152647,SEABASS
Tanker,154769,SCANDINAVIA
Tanker,155229,TARNBRIS
Tanker,155712,PACIFIC
Tanker,156111,TERNVAG
Tanker,156114,TERNHAV
Tanker,156246,MARINUS
Tanker,156323,LEXUS
Tanker,156373,SCORPIUS
Tanker,157040,"NAUTILUS"
Tanker,157057,NEPTUNUS
Tanker,157062,NIMBUS
Tanker,158394,HANNE THERESA
Tanker,159543,SELANDIA SWAN
Tanker,159701,AALBORG
Tanker,159706,COPENHAGEN
